City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
213,Kambove,CD,-10.8764,26.5969,59.86,40,0,5.73,clear sky
214,Buta,CD,2.7858,24.73,70.07,94,84,2.44,light rain
215,Miyaly,KZ,48.8844,53.7836,73.58,46,4,10.25,clear sky
216,Paita,PE,-5.0892,-81.1144,71.78,81,74,17.11,broken clouds
217,Progreso,MX,21.2833,-89.6667,98.71,74,7,14.25,clear sky
218,Moundou,TD,8.5667,16.0833,68.58,98,100,3.4,overcast clouds
219,Kirakira,SB,-10.4544,161.9205,77.72,87,100,9.95,overcast clouds
220,Kalifornsky,US,60.4183,-151.29,59.4,92,0,8.05,clear sky
221,Carnarvon,AU,-24.8667,113.6333,66.65,71,19,7.47,few clouds
222,Crane,US,31.3974,-102.3501,105.98,12,2,7.23,clear sky
223,Vorkuta,RU,67.5,64.0,45.05,91,25,7.43,scattered clouds
224,Kill Devil Hills,US,36.0307,-75.676,86.0,70,0,5.75,clear sky
225,Mount Gambier,AU,-37.8333,140.7667,50.99,69,100,9.13,overcast clouds
226,Paracuru,BR,-3.41,-39.0306,80.11,85,68,11.9,broken clouds
227,Khorixas,NA,-20.3667,14.9667,64.15,43,82,3.27,broken clouds
228,Ust-Nera,RU,64.5667,143.2,64.9,53,10,3.06,clear sky
229,Qaqortoq,GL,60.7167,-46.0333,43.9,81,16,2.84,few clouds
230,Usinsk,RU,65.9939,57.5281,50.43,76,47,8.25,scattered clouds
231,Favara,IT,37.3175,13.6623,71.76,59,73,5.1,broken clouds
232,Walvis Bay,NA,-22.9575,14.5053,56.35,88,37,5.75,light rain
233,Tura,IN,25.5198,90.2201,74.14,97,100,2.21,light rain
234,Fortuna,US,40.5982,-124.1573,73.92,73,20,13.8,few clouds
235,Sorong,ID,-0.8833,131.25,76.19,85,100,10.83,overcast clouds
236,Chibougamau,CA,49.9168,-74.3659,73.02,46,0,6.91,clear sky
237,Saipan,MP,15.1355,145.701,83.64,100,100,9.22,overcast clouds
238,Ipinda,TZ,-9.4833,33.9,65.75,80,54,1.9,broken clouds
239,Malango,ID,-2.9627,119.9001,66.04,96,69,1.43,broken clouds
240,Aasiaat,GL,68.7098,-52.8699,39.54,84,12,9.35,few clouds
241,Faranah,GN,10.0404,-10.7434,71.55,97,97,8.19,overcast clouds
242,Kattivakkam,IN,13.2167,80.3167,81.07,84,97,13.27,overcast clouds
243,Antofagasta,CL,-23.65,-70.4,63.68,80,31,7.2,scattered clouds
244,Anadyr,RU,64.75,177.4833,52.3,82,40,13.42,scattered clouds
245,Sekong,ID,-6.3996,106.0252,70.72,98,85,2.1,overcast clouds
246,La Mira,MX,18.035,-102.3266,87.26,68,36,4.92,scattered clouds
247,Renqiu,CN,38.6989,116.0936,78.53,75,95,2.15,overcast clouds
248,Gravatai,BR,-29.9444,-50.9919,61.75,97,75,9.22,light rain
249,Kindu,CD,-2.95,25.95,73.6,60,3,1.95,clear sky
250,Saint-Joseph,RE,-21.3667,55.6167,66.58,76,20,6.17,few clouds
251,Cascais,PT,38.6979,-9.4215,71.94,84,20,15.99,few clouds
252,Mejit,MH,10.2753,170.8646,82.06,72,91,10.51,overcast clouds
253,Aksu,CN,41.1231,80.2644,76.46,37,5,4.41,clear sky
254,Lebu,CL,-37.6167,-73.65,54.63,89,100,15.55,overcast clouds
255,Sur,OM,22.5667,59.5289,87.33,62,100,5.46,overcast clouds
256,Jianshui,CN,23.6363,102.8264,68.77,98,100,0.13,overcast clouds
257,Sampit,ID,-2.5333,112.95,72.16,91,37,2.3,scattered clouds
258,Bismarck,US,46.8083,-100.7837,78.66,61,20,9.22,few clouds
259,Cockburn Town,TC,21.4612,-71.1419,84.36,84,63,16.51,broken clouds
260,Bella Vista,US,36.4295,-94.2316,85.84,76,75,11.5,broken clouds
261,Chonchi,CL,-42.6128,-73.8092,51.12,92,100,8.57,light rain
262,Faxinal,BR,-24.0003,-51.3194,61.27,80,25,3.31,scattered clouds
263,As Sulayyil,SA,20.4607,45.5779,91.65,10,3,4.61,clear sky
264,Quellon,CL,-43.1167,-73.6167,50.25,100,100,9.22,moderate rain
265,Ola,RU,59.5833,151.2833,62.15,56,4,5.14,clear sky
266,Chokwe,MZ,-24.5333,32.9833,59.61,89,0,4.83,clear sky
267,Sainte-Rose,GP,16.3324,-61.6979,78.84,94,75,3.44,broken clouds
268,Hargeysa,SO,9.56,44.065,69.89,59,100,25.21,overcast clouds
269,Centerville,US,39.6284,-84.1594,78.24,81,40,10.36,scattered clouds
270,Isafjordur,IS,66.0755,-23.124,46.18,74,91,7.87,overcast clouds
271,Greenfield,US,42.9614,-88.0126,81.68,53,75,12.66,broken clouds
272,Geraldton,AU,-28.7667,114.6,52.21,87,100,4.61,overcast clouds
273,Akureyri,IS,65.6835,-18.0878,46.33,81,40,8.05,scattered clouds
274,Choele Choel,AR,-39.2667,-65.6833,60.13,35,100,16.69,overcast clouds
275,Lingyuan,CN,41.24,119.4011,72.77,67,1,4.23,clear sky
276,Ancud,CL,-41.8697,-73.8203,52.0,82,100,18.41,light rain
277,Male,MV,4.1748,73.5089,82.35,83,75,11.5,broken clouds
278,Mili,MH,6.0815,171.735,82.42,72,67,1.19,broken clouds
279,Hiriyur,IN,13.9456,76.6192,72.66,85,63,9.82,broken clouds
280,Floro,NO,61.5996,5.0328,50.07,93,75,13.8,broken clouds
281,Belmonte,BR,-15.8631,-38.8828,71.76,75,0,7.92,clear sky
282,Bedford,GB,52.1346,-0.4663,66.09,85,55,5.5,broken clouds
283,Waspan,NI,14.7419,-83.9717,84.25,79,98,5.01,overcast clouds
284,La'Ie,US,21.6477,-157.9253,87.76,68,46,21.79,scattered clouds
285,Amuntai,ID,-2.4177,115.2494,73.06,89,79,0.76,broken clouds
286,Dudinka,RU,69.4058,86.1778,56.62,72,100,19.93,overcast clouds
287,Korkuteli,TR,37.065,30.1957,70.47,87,2,1.05,clear sky
288,Kavaratti,IN,10.5669,72.642,82.53,75,100,16.62,overcast clouds
289,Los Angeles,US,34.0522,-118.2437,90.81,71,0,12.66,moderate rain
290,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,35,9.31,light rain
291,Devonport,AU,-41.1667,146.35,52.09,95,85,11.72,overcast clouds
292,Kisangani,CD,0.5167,25.2,71.76,94,68,1.16,broken clouds
293,Scone,GB,56.4194,-3.4051,61.21,88,83,1.99,broken clouds
294,San Patricio,US,28.017,-97.5169,99.54,52,0,21.79,clear sky
295,Sam Roi Yot,TH,12.2708,99.872,77.7,84,96,4.88,overcast clouds
296,Sao Vicente,BR,-23.9631,-46.3919,71.78,26,100,1.99,light rain
297,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,0,6.91,clear sky
298,New Norfolk,AU,-42.7826,147.0587,55.92,70,84,5.53,broken clouds
299,Sinabang,ID,2.4803,96.3801,76.87,90,100,7.16,overcast clouds
300,Acarau,BR,-2.8856,-40.12,77.16,85,67,12.57,broken clouds
301,Tralee,IE,52.2704,-9.7026,59.76,96,2,8.79,clear sky
302,Chicoana,AR,-25.1009,-65.5331,66.25,33,68,5.32,broken clouds
303,Meadow Lakes,US,61.6247,-149.6011,62.74,86,100,3.44,light rain
304,Villa Gesell,AR,-37.2639,-56.973,54.05,94,84,8.72,broken clouds
305,Baidoa,SO,3.1138,43.6498,69.51,83,59,12.39,broken clouds
306,Lisala,CD,2.15,21.5167,69.15,99,99,3.27,light rain
307,Kapa'A,US,22.0752,-159.319,93.18,71,40,19.57,scattered clouds
308,Axim,GH,4.8699,-2.2405,75.58,84,97,11.03,overcast clouds
309,Aripuana,BR,-9.1667,-60.6333,84.51,43,78,2.77,broken clouds
310,Bathsheba,BB,13.2167,-59.5167,84.81,79,20,9.22,light rain
311,Puerto Lempira,HN,15.2667,-83.7667,82.54,74,75,11.5,broken clouds
312,Fray Luis Beltran,AR,-39.3167,-65.7667,60.1,35,100,16.22,overcast clouds
313,La Passe,FR,45.5549,-0.8967,75.43,59,34,6.89,scattered clouds
314,Susuman,RU,62.7833,148.1667,50.94,68,67,1.92,broken clouds
315,Mount Isa,AU,-20.7333,139.5,62.37,55,6,3.44,clear sky
316,Queenstown,ZA,-31.8976,26.8753,49.89,89,36,2.57,scattered clouds
317,Zhalantun,CN,48.0,122.7167,62.56,89,99,5.3,overcast clouds
318,Safonovo,RU,55.15,33.2167,52.2,82,4,3.6,clear sky
319,Nuuk,GL,64.1835,-51.7216,41.61,93,100,17.27,fog
320,Verkhnevilyuysk,RU,63.4453,120.3167,63.93,54,0,8.08,clear sky
321,Nikolayevsk-On-Amure,RU,53.1406,140.73,64.44,65,55,2.46,broken clouds
322,Suez,EG,29.9737,32.5263,77.0,66,0,10.67,clear sky
323,Merizo Village,GU,13.2658,144.6691,81.16,97,100,18.88,light rain
324,Oppdal,NO,62.5943,9.6912,46.76,89,97,5.44,overcast clouds
325,Haiku-Pauwela,US,20.9219,-156.3051,84.25,60,40,25.32,scattered clouds
326,Gadzhiyevo,RU,69.2551,33.3362,64.49,75,0,6.29,clear sky
327,Yuzhno-Kurilsk,RU,44.0306,145.8556,67.66,99,100,8.55,overcast clouds
328,Manokwari,ID,-0.8667,134.0833,80.08,68,100,1.7,overcast clouds
329,Harjavalta,FI,61.3167,22.1333,55.13,89,10,5.66,clear sky
330,Farah,AF,32.5,62.5,79.12,22,1,4.9,clear sky
331,El Calafate,AR,-50.3408,-72.2768,35.08,87,28,2.17,scattered clouds
332,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,95,100,7.47,light rain
333,Hermanus,ZA,-34.4187,19.2345,55.11,82,0,10.04,clear sky
334,Slave Lake,CA,55.2834,-114.769,60.78,100,100,5.75,moderate rain
335,Amga,RU,60.8953,131.9608,64.24,51,67,5.48,broken clouds
336,Kotabumi,ID,-4.8333,104.9,72.81,97,75,4.27,broken clouds
337,Codrington,AU,-38.2667,141.9667,51.08,76,62,15.59,broken clouds
338,Port Saint John'S,ZA,-31.6229,29.5448,62.62,85,84,10.02,broken clouds
339,Saynshand,MN,44.8824,110.1163,74.88,43,95,16.08,overcast clouds
340,Gebeit,SD,21.0667,36.3167,86.07,21,2,1.32,clear sky
341,Dammam,SA,26.4344,50.1033,95.11,63,0,6.91,clear sky
342,Jaragua,BR,-15.7569,-49.3344,77.47,26,2,1.36,clear sky
343,Mundemba,CM,4.9479,8.8724,73.13,97,97,2.06,overcast clouds
344,Wanning,CN,18.8003,110.3967,80.74,75,99,4.59,overcast clouds
